name,type,latitude,longitude
A&D Bentea Forest ,LOG,45.59076,26.874682
Adicen Impex,LOG,45.495728,25.331089
Ambrus J. Csaba Danesti,LOG,46.50896,25.735799
Aprofa,LOG,46.307555,25.944987
Asan Com ,LOG,46.494328,26.373532
B&C Explo For,LOG,47.100995,26.046184
Bae Forex Catalina,LOG,45.96826525,26.14734241
Barczenfor ,LOG,45.54553,25.50706
Bion Silv ,LOG,45.451785,26.330477
Bracovex ,LOG,45.79157,26.131172
Brum Wood ,LOG,46.698181,26.654859
Cata Elena Trans Gresu,LOG,45.952222,26.527222
Cata Elena Trans Vidra,LOG,45.907222,26.923333
Cheile Gradistei ,LOG,45.4868,25.3216
Comlemn ,LOG,45.851944,27.047222
Cosmo Ceramica ,LOG,45.258333,25.753611
Casablanca ,LOG,46.35714,25.50638
Cekend Com ,LOG,46.34461,25.39844
Danfor ,LOG,45.501165,25.334512
Danmira Lemn ,LOG,45.718055,27.164444
Damacrist Forest ,LOG,46.417205,26.465094
Detroit City ,LOG,46.8011346,25.4783594
DMA 11 Forest ,LOG,45.456111,26.368611
Dragoforest ,LOG,46.532427,26.073641
Emirad Top,LOG,47.032083,25.302866
Est Vest Forest,LOG,46.916388,26.187222
Esterer,LOG,46.51199,25.157169
Exfor,LOG,45.193055,25.442777
1Darmex Impex 1,LOG,46.424678,26.405983
Explosilva,LOG,45.206514,26.731816
Exploturism,LOG,47.141347,25.858343
Dep Caiuti,LOG,46.186282,26.92805
Fez-Zoltan,LOG,45.931364,26.267617
Fides Impex ,LOG,45.980487,26.26118
Etna,LOG,46.644759,26.567086
Forest Montan,LOG,45.734214,24.934032
Forest Volt ,LOG,46.039458,26.141898
Formobi Construct ,LOG,45.181168,25.960487
Ful Prod Company ,LOG,46.358133,25.538379
Hagiu Forest,LOG,45.53223,26.11457
Helikon ,LOG,45.917655,26.291268
Ibisz Forest,LOG,46.354137,25.964123
Exim Wood,LOG,46.164196,26.728309
Incomixt,LOG,46.597712,25.799772
K M Import Export ,LOG,45.926326,25.797512
Kafor Company,LOG,46.50204,25.355405
Larix Forcomprod ,LOG,46.320686,25.954256
Lemnza Transcom,LOG,46.490329,25.74097
Limsilva Forest,LOG,45.717469,27.165621
Lyador Forexpres,LOG,45.91,26.66694
M Forest Productie Trust ,LOG,45.436978,26.310252
Lorecom,LOG,47.06755,25.489445
Miamar Service,LOG,47.057985,25.500008
Migab Forest,LOG,45.3248148,25.7268759
Mitica Lemn 1,LOG,47.141347,25.858343
Multistar,LOG,45.43873,26.311187
Opra Laszlo Intrep. Individuala.,LOG,46.344318,25.47119
Expoptim Forest,LOG,46.116481,26.658519
1Palex,LOG,46.726314,25.624446
Petrus Prod ,LOG,47.172476,25.788657
Pricoforest ,LOG,47.228316,26.092557
Prod Baroti ,LOG,46.56084,25.79026
Pseudotsuga ,LOG,46.445559,25.846153
Pufvas,LOG,46.90736,26.08201
